Id,Country,OPANAL,EU,ATT,UNRCPD,protocal1,protocal2,protocal3,military,free,latitude,longitude
0,Afghanistan,0,0,1,1,1,1,0,-0.201012686,-1.08476466,34.53,69.17
1,Albania,0,1,1,0,1,1,1,-0.201942923,0.37617154,41.33,19.82
2,Algeria,0,0,1,0,1,1,0,-0.005527685,-0.71953061,36.75,3.04
3,Angola,0,0,1,0,1,0,0.6,-0.144209312,-1.08476466,-8.84,13.23
4,Argentina,1,0,1,0,1,1,1,-0.096796361,0.841014877,-34.61,-58.4
5,Armenia,0,0,1,0,1,1,1,-0.196023597,-0.387499655,40.18,44.51
6,Australia,0,0,1,1,1,1,1,0.342986843,1.372264405,-35.28,149.13
7,Austria,0,1,1,0,1,1,1,-0.142716041,1.272655118,48.21,16.37
8,Azerbaijan,0,0,1,0,0,0,0,-0.174555183,-1.416795615,40.38,49.89
9,Bahamas,1,0,1,0,1,1,0,-0.203849567,1.139842736,25.06,-77.34
10,Bahrain,0,0,0,0,1,1,0,-0.17447896,-1.483201806,26.22,50.58
11,Bangladesh,0,0,1,1,1,1,0,-0.133702391,-0.321093464,23.71,90.41
12,Belarus,0,0,0,0,1,1,1,-0.192313777,-1.217577042,53.9,27.57
13,Belgium,0,1,1,0,1,1,1,-0.116083648,1.272655118,50.85,4.35
14,Bhutan,0,0,1,1,0,0,0,-0.2,-0.9,27.4728,89.6393
15,Bolivia,1,0,1,0,1,1,0.6,-0.19344284,0.37617154,-19.03,-65.26
16,Botswana,0,0,1,0,1,1,0,-0.194464378,0.508983922,-24.65,25.91
17,Brazil,1,0,1,0,1,1,1,0.374478579,0.741405591,-15.78,-47.93
18,Brunei,0,0,1,0,1,1,0,-0.197940545,-0.918749183,4.5352769,114.7276688
19,Bulgaria,0,1,1,0,1,1,1,-0.188495025,0.774608686,42.7,23.32
20,Burkina Faso,0,0,1,0,1,1,1,-0.201019437,0.210156063,12.36,-1.54
21,Burundi,0,0,1,0,1,1,0.6,-0.203534861,-1.250780138,-3.38,29.36
22,Cameroon,0,0,1,0,1,1,0,-0.196724925,-1.08476466,3.87,11.52
23,Canada,0,1,1,0,1,1,1,0.217415748,1.4054675,45.42,-75.7
24,Central African Republic,0,0,1,0,1,1,0,-0.204254777,-1.549607997,4.36,18.55
25,Chad,0,0,1,0,1,1,0,-0.20046524,-1.283983233,12.11,15.04
26,Chile,1,0,1,0,1,1,1,-0.098569335,1.239452023,-33.46,-70.65
27,China,0,0,0,1,1,1,0,4.302125409,-1.38359252,39.91,116.4
28,Colombia,1,0,1,0,1,1,0.6,-0.006622307,0.243359159,4.61,-74.08
29,Cote d'Ivoire,0,0,1,0,1,1,0,-0.155077987,-0.194876867,7.54,-4.01266
30,Croatia,0,1,1,0,1,1,1,-0.189284056,1.007030354,45.81,15.98
31,Cyprus,0,1,1,0,1,1,1,-0.19772939,1.239452023,35.16,33.37
32,Czechia,0,1,1,0,1,1,1,1.239452023,-0.163697579,49.8175,15.473
33,Democratic Republic of the Congo,0,0,1,0,1,1,0,-0.19895874,-0.985155374,-4.33,15.31
34,Denmark,0,1,1,0,1,1,1,-0.130338947,1.339061309,55.68,12.57
35,Djibouti,0,0,1,0,1,1,0,-0.204007823,-1.018358469,11.59,43.14
36,Dominican Republic,1,0,1,0,1,1,1,-0.194253762,0.37617154,18.49,-69.9
37,Ecuador,1,0,1,0,1,1,0.6,-0.15608194,0.01093749,-0.23,-78.52
38,Egypt,0,0,0,0,1,1,0,-0.150090197,-1.018358469,30.04,31.24
39,El Salvador,1,0,1,0,1,1,1,-0.199637976,0.442577731,13.69,-89.19
40,Equatorial Guinea,0,0,1,0,1,1,0,-0.204552026,-1.616014188,3.75,8.78
41,Estonia,0,1,1,0,1,1,1,-0.194167454,1.239452023,59.44,24.75
42,Ethiopia,0,0,1,0,1,1,0.6,-0.194845622,-1.483201806,9.02,38.75
43,Fiji,0,0,1,1,1,1,1,-0.203894951,0.077343681,-18.14,178.44
44,Finland,0,1,1,0,1,1,1,-0.136947428,1.438670596,60.17,24.94
45,France,0,1,1,0,1,1,1,0.990380645,1.106639641,48.85,2.35
46,Gabon,0,0,1,0,1,1,0,-0.199508785,-0.819139897,0.39,9.45
47,Georgia,0,0,1,0,1,1,1,-0.19870175,0.243359159,41.69,44.83
48,Germany,0,1,1,0,1,1,1,0.692942713,1.272655118,52.52,13.41
