Id, RealName, Community
0,Afghanistan,79
1,Albania,79
2,Algeria,79
3,Angola,79
4,Argentina,79
5,Armenia,79
6,Australia,79
7,Austria,79
8,Azerbaijan,79
9,Bahamas,79
10,Bahrain,79
11,Bangladesh,79
12,Belarus,79
13,Belgium,79
14,Bhutan,79
15,Bolivia,79
16,Botswana,79
17,Brazil,79
18,Brunei,79
19,Bulgaria,79
20,Burkina Faso,79
21,Burundi,79
22,Cameroon,79
23,Canada,79
24,Central African Republic,79
25,Chad,79
26,Chile,79
27,China,27
28,Colombia,79
29,Cote d'Ivoire,79
30,Croatia,79
31,Cyprus,79
32,Czechia,79
33,Democratic Republic of the Congo,79
34,Denmark,79
35,Djibouti,79
36,Dominican Republic,79
37,Ecuador,79
38,Egypt,79
39,El Salvador,79
40,Equatorial Guinea,79
41,Estonia,79
42,Ethiopia,79
43,Fiji,79
44,Finland,79
45,France,79
46,Gabon,79
47,Georgia,79
48,Germany,79
49,Ghana,79
50,Greece,79
51,Guatemala,79
52,Guinea,79
53,Guyana,79
54,Honduras,79
55,Hungary,79
56,India,79
57,Indonesia,79
58,Iran,79
59,Iraq,79
60,Ireland,79
61,Israel,79
62,Italy,79
63,Jamaica,79
64,Japan,79
65,Jordan,79
66,Kazakhstan,79
67,Kenya,79
68,Kuwait,79
69,Kyrgyzstan,79
70,Laos,79
71,Latvia,79
72,Lebanon,79
73,Lesotho,79
74,Libya,79
75,Lithuania,79
76,Luxembourg,79
77,Macedonia,79
78,Malawi,79
79,Malaysia,79
80,Mali,79
81,Malta,79
82,Mauritania,79
83,Mauritius,79
84,Mexico,79
85,Montenegro,79
86,Morocco,79
87,Mozambique,79
88,Myanmar,79
89,Namibia,79
90,Nepal,79
91,Netherlands,79
92,New Zealand,79
93,Nicaragua,79
94,Niger,79
95,Nigeria,79
96,Norway,79
97,Oman,79
98,Pakistan,79
99,Panama,79
100,Papua New Guinea,79
101,Peru,79
102,Philippines,79
103,Poland,79
104,Portugal,79
105,Qatar,79
106,Republic of Korea,79
107,Romania,79
108,Russia,79
109,Rwanda,79
110,Saudi Arabia,79
111,Senegal,79
112,Serbia,79
113,Seychelles,79
114,Sierra Leone,79
115,Singapore,79
116,Slovakia,79
117,Slovenia,79
118,Somalia,79
119,South Africa,79
120,South Sudan,79
121,Spain,79
122,Sri Lanka,79
123,Sudan,79
124,Sweden,79
125,Switzerland,79
126,Syria,79
127,Taiwan,79
128,Tajikistan,79
129,Tanzania,79
130,Thailand,79
131,Trinidad and Tobago,79
132,Tunisia,79
133,Turkey,79
134,Turkmenistan,79
135,UAE,79
136,Uganda,79
137,Ukraine,79
138,United Kingdom,79
139,United States,27
140,Uruguay,79
141,Uzbekistan,79
142,Venezuela,79
143,Viet Nam,79
144,Western Sahara,79
145,Yemen,79
146,Zambia,79
