Id, RealName, Community
0,Afghanistan,1
1,Albania,1
2,Algeria,4
3,Angola,1
4,Argentina,1
5,Armenia,1
6,Australia,1
7,Austria,1
8,Azerbaijan,1
9,Bahamas,1
10,Bahrain,1
11,Bangladesh,7
12,Belarus,1
13,Belgium,1
14,Bhutan,1
15,Bolivia,1
16,Botswana,1
17,Brazil,1
18,Brunei,1
19,Bulgaria,1
20,Burkina Faso,1
21,Burundi,1
22,Cameroon,1
23,Canada,1
24,Central African Republic,1
25,Chad,1
26,Chile,1
27,China,1
28,Colombia,7
29,Cote d'Ivoire,1
30,Croatia,1
31,Cyprus,1
32,Czechia,1
33,Democratic Republic of the Congo,1
34,Denmark,1
35,Djibouti,1
36,Dominican Republic,1
37,Ecuador,7
38,Egypt,7
39,El Salvador,1
40,Equatorial Guinea,2
41,Estonia,1
42,Ethiopia,1
43,Fiji,1
44,Finland,1
45,France,1
46,Gabon,1
47,Georgia,4
48,Germany,1
49,Ghana,6
50,Greece,1
51,Guatemala,1
52,Guinea,6
53,Guyana,1
54,Honduras,1
55,Hungary,1
56,India,1
57,Indonesia,1
58,Iran,7
59,Iraq,6
60,Ireland,1
61,Israel,1
62,Italy,1
63,Jamaica,7
64,Japan,1
65,Jordan,1
66,Kazakhstan,1
67,Kenya,1
68,Kuwait,1
69,Kyrgyzstan,7
70,Laos,7
71,Latvia,1
72,Lebanon,4
73,Lesotho,7
74,Libya,1
75,Lithuania,1
76,Luxembourg,1
77,Macedonia,1
78,Malawi,7
79,Malaysia,1
80,Mali,1
81,Malta,5
82,Mauritania,1
83,Mauritius,1
84,Mexico,1
85,Montenegro,1
86,Morocco,6
87,Mozambique,6
88,Myanmar,1
89,Namibia,3
90,Nepal,1
91,Netherlands,1
92,New Zealand,1
93,Nicaragua,1
94,Niger,7
95,Nigeria,1
96,Norway,1
97,Oman,1
98,Pakistan,1
99,Panama,7
100,Papua New Guinea,6
101,Peru,1
102,Philippines,6
103,Poland,1
104,Portugal,1
105,Qatar,1
106,Republic of Korea,1
107,Romania,1
108,Russia,1
109,Rwanda,1
110,Saudi Arabia,1
111,Senegal,1
112,Serbia,1
113,Seychelles,1
114,Sierra Leone,0
115,Singapore,1
116,Slovakia,1
117,Slovenia,1
118,Somalia,1
119,South Africa,1
120,South Sudan,1
121,Spain,1
122,Sri Lanka,6
123,Sudan,1
124,Sweden,1
125,Switzerland,1
126,Syria,1
127,Taiwan,6
128,Tajikistan,1
129,Tanzania,6
130,Thailand,1
131,Trinidad and Tobago,1
132,Tunisia,1
133,Turkey,1
134,Turkmenistan,1
135,UAE,1
136,Uganda,1
137,Ukraine,1
138,United Kingdom,1
139,United States,1
140,Uruguay,1
141,Uzbekistan,1
142,Venezuela,1
143,Viet Nam,7
144,Western Sahara,1
145,Yemen,6
146,Zambia,1
