source,target,weights
46,14,6
68,103,4.75
20,109,0.42
82,3,62.7
92,84,43
82,21,275
92,84,27
91,101,71.2
108,88,34
33,4,3.2
92,108,159.6
108,50,3.96
33,71,3.8
82,44,292
41,93,37
106,101,52
33,70,13.6
107,72,230
49,77,3.3
106,101,3
47,5,16
108,5,3
47,71,4.65
108,28,140
68,32,40
108,42,75
103,85,4.25
108,85,2
108,0,115.83
82,111,15
106,111,10
108,77,0.24
82,70,23
11,33,5.2
25,106,17.82
46,77,4.2
73,7,2.2
108,42,6
10,86,45.6
82,10,26
107,91,12
108,91,7.5
91,42,159.52
35,107,3.2
68,59,10
46,7,125
35,2,48
35,86,3.25
108,20,43.5
108,64,15
47,71,30.2
108,33,3
108,84,1950
5,49,0.8
108,49,0.2
95,71,13.5
108,44,34
82,7,28.5
35,80,35
107,32,0.288
14,0,26.4
18,0,3.6
18,56,3
42,111,7.6
47,3,12
35,68,25
108,98,87
96,14,3
108,84,4
108,104,20
108,84,27
68,18,12.5
108,18,72
104,28,42
82,28,294.5
108,77,7.5
108,65,3
108,65,4
108,50,11
108,84,9
14,62,17.6
35,68,2.21
21,73,37.5
91,41,43.2
18,62,2.4
108,47,55
47,33,2.75
35,33,8
33,88,55
35,91,550
108,71,330
68,30,28.8
35,84,72
35,60,16.8
108,46,330
108,84,160
108,84,26
26,33,2
33,41,4
35,41,4
15,23,6.8
47,80,20
108,50,5.5
108,50,3.52
108,0,16.5
108,26,32.2
108,49,68
108,5,20
108,5,12
108,5,5
82,16,13.5
108,48,5.4
106,21,60
35,21,14.4
21,12,1.4
25,106,11.88
108,103,80
35,103,1.8
107,88,24
23,33,1.26
106,21,48
35,107,9
21,19,1.44
35,88,8
33,88,16
108,84,90
33,53,3.3
108,106,7.44
103,104,84
108,91,80
108,84,20
107,84,16
21,51,23
33,100,15
68,108,61.6
82,21,600
108,5,250
96,33,73.5
35,5,27
108,103,13
108,11,0.72
68,88,16
33,84,20
35,101,4.2
103,80,8.5
79,22,2.6
68,50,0.48
104,56,2.4
35,107,2.25
95,91,2.5
108,35,2
108,103,21.6
108,91,12.96
103,72,78
103,61,8.75
103,61,5.2
103,61,14
71,78,19.8
71,68,0.75
95,26,1.5
47,67,6
47,9,12
33,57,0.9
46,111,90
46,111,32
46,47,1.5
18,80,2.5
21,10,0.7
107,55,2.16
47,79,2.25
90,61,1.5
6,55,4
108,8,10
108,46,45
108,63,14
108,4,1.2
27,109,2.16
108,84,350
47,89,16
47,103,178.2
103,73,16
108,37,1.8
47,73,5.056
47,42,21.6
47,101,35
96,50,9.8
82,51,46
108,33,2.75
95,73,2
95,96,10
26,61,4.75
26,55,1.6
21,73,35
108,14,18
33,84,8
33,28,330
96,26,9.9
107,33,20
106,82,26
21,73,227.5
108,89,14.5
33,42,21
95,6,2.3
68,32,2.8
68,32,2.24
32,78,31.2
90,108,96
5,108,30
35,91,13.5
108,28,6.8
82,104,80
33,14,9
35,108,10
95,108,7.5
33,40,9.2
82,80,4
21,73,7
108,98,20
33,56,0.784
107,88,20
68,103,12.5
82,28,12
82,97,93.06
82,97,88
82,43,1
82,41,42
108,69,5.5
108,91,7
33,36,5.5
14,41,10.4
108,22,3.1
21,2,20
21,2,7.5
91,101,220.75
108,46,35
82,50,60
82,54,40
82,101,13.5
35,28,6
35,101,10
82,51,220
21,73,5
91,84,3
108,84,26
69,76,6
33,63,7.5
108,53,55
95,52,0.24
108,56,9.924
96,53,15
11,42,7.92
103,110,4.08
33,5,20
108,5,20
90,104,7.4
108,104,1.6
47,104,12.5
108,104,30
33,65,50
108,81,1.8
108,98,3.6
108,68,3
46,88,4
21,42,18
108,28,18
33,28,5
82,2,44
82,2,44
108,49,36
47,101,2.75
108,98,8
108,101,20
108,47,7
108,47,10.8
95,101,12.5
108,14,3.6
108,79,4
108,101,7
108,80,4
108,81,11
107,73,5.4
107,73,2.7
108,68,3.06
108,5,10.8
108,104,35.08
108,104,200
108,2,3.2
46,7,15
108,34,4.1
82,41,243.75
82,41,28
46,41,8
21,73,11
108,41,13.2
108,56,60
108,103,14
33,84,9.5
33,26,3.8
33,108,47.5
68,61,3
96,26,2.52
92,107,6.42
82,10,40
33,61,0.4
46,101,0.5
91,32,9
35,60,5.94
21,2,0.5
82,70,1
82,43,1
35,72,6.5
108,25,1
33,70,7.2
108,49,7.5
108,49,14
