id,realName,kmeancommunity
0,Afghanistan,0
1,Albania,0
2,Algeria,0
3,Angola,0
4,Argentina,0
5,Australia,0
6,Austria,0
7,Azerbaijan,0
8,Bahrain,2
9,Bangladesh,5
10,Belarus,0
11,Belgium,6
12,Bolivia,0
13,Botswana,6
14,Brazil,0
15,Bulgaria,0
16,Burkina Faso,0
17,Cameroon,2
18,Canada,0
19,Central African Republic,0
20,Chile,0
21,China,0
22,Colombia,2
23,Cote d'Ivoire,0
24,Croatia,2
25,Czechia,0
26,Denmark,6
27,Ecuador,0
28,Egypt,0
29,Equatorial Guinea,0
30,Estonia,0
31,Ethiopia,2
32,Finland,0
33,France,0
34,Georgia,6
35,Germany,0
36,Greece,6
37,Guatemala,2
38,Guyana,0
39,Honduras,2
40,Hungary,0
41,India,0
42,Indonesia,0
43,Iran,0
44,Iraq,0
45,Ireland,6
46,Israel,0
47,Italy,0
48,Jamaica,2
49,Japan,2
50,Jordan,0
51,Kazakhstan,0
52,Kenya,0
53,Kuwait,4
54,Laos,0
55,Latvia,2
56,Lebanon,0
57,Lesotho,0
58,Libya GNC,0
59,Libya HoR,0
60,Lithuania,0
61,Malaysia,0
62,Mali,0
63,Mexico,6
64,Montenegro,2
65,Morocco,6
66,Myanmar,3
67,Nepal,0
68,Netherlands,0
69,New Zealand,2
70,Nigeria,0
71,Norway,0
72,Oman,0
73,Pakistan,1
74,Panama,2
75,Papua New Guinea,4
76,Peru,0
77,Philippines,2
78,Poland,0
79,Portugal,2
80,Qatar,0
81,Romania,2
82,Russia,0
83,Rwanda,0
84,Saudi Arabia,0
85,Senegal,2
86,Serbia,0
87,Seychelles,0
88,Singapore,0
89,Slovakia,2
90,South Africa,0
91,South Korea,0
92,Spain,0
93,Sri Lanka,6
94,Sudan,0
95,Sweden,0
96,Switzerland,6
97,Syria,0
98,Taiwan,2
99,Tajikistan,0
100,Tanzania,0
101,Thailand,0
102,Tunisia,0
103,Turkey,0
104,UAE,4
105,Uganda,0
106,Ukraine,0
107,United Kingdom,0
108,United States,2
109,Uruguay,0
110,Uzbekistan,2
111,Viet Nam,0
112,Yemen,4
