Id,Country,Latitude,Longitude,military_expenditure,freedom_score
0,Afghanistan,34.53,69.17,13.83499596,24
1,Albania,41.33,19.82,12.01593478,68
2,Algeria,36.75,3.04,100.3661498,35
3,Angola,-8.84,13.23,55.34322826,24
4,Argentina,-34.61,-58.40,73.88940162,82
5,Armenia,40.18,44.51,21.06206099,45
6,Australia,-35.28,149.13,166.4064675,98
7,Austria,48.21,16.37,56.02106036,95
8,Azerbaijan,40.38,49.89,39.10063417,14
9,Bahamas,25.06,-77.34,6.92820323,91
10,Bahrain,26.22,50.58,39.14987568,12
11,Bangladesh,23.71,90.41,59.9500457,47
12,Barbados,13.10,-59.62,6.244997998,97
13,Belarus,53.90,27.57,25.12260733,20
14,Belgium,50.85,4.35,66.96754873,95
15,Belize,17.25,-88.77,4.843216906,87
16,Benin,6.37,2.42,10.77695608,82
17,Benin,6.50,2.60,10.77695608,82
18,Bolivia,-19.03,-65.26,23.95976189,68
19,Bolivia,-16.50,-68.15,23.95976189,68
20,Bosnia and Herzegovina,43.85,18.36,12.83113597,55
21,Botswana,-24.65,25.91,22.85673764,72
22,Brazil,-15.78,-47.93,171.12291,79
23,Bulgaria,42.70,23.32,28.70865753,80
24,Burkina Faso,12.36,-1.54,13.82265672,63
25,Burundi,-3.38,29.36,7.994290365,19
26,Cambodia,11.56,104.92,21.5362679,31
27,Cameroon,3.87,11.52,20.20291007,24
28,Canada,45.42,-75.70,146.0937078,99
29,Central African Republic,4.36,18.55,5.24559474,10
30,Chad,12.11,15.04,14.80138613,18
31,Chile,-33.46,-70.65,73.28040758,94
32,China,39.91,116.40,477.3147996,15
33,Colombia,4.61,-74.08,100.0901085,64
34,Costa Rica,9.93,-84.08,0,91
35,Côte d'Ivoire,6.82,-5.28,22.39595348,52
36,Côte d'Ivoire,5.35,-4.03,22.39595348,52
37,Croatia,45.81,15.98,28.00537026,87
38,Cuba,23.12,-82.38,11.07036219,15
39,Cyprus,35.16,33.37,18.90452117,94
40,Czech Republic,50.09,14.42,45.5820366,94
41,Democratic Republic of the Congo,-4.33,15.31,17.18243505,27
