sep=;,,,,
,,,,
,,,,
 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 1989 to 1989 - (created: 09-05-2019),,,,
,,,,
Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production,,,,
19150;United States;Thailand;RGM-84 Harpoon;Anti-ship missile;Missiles;1987;No;6;No;1989;No;New;1.0000;1.0000;6;No,,,,
18066;Singapore;UAE;Baracuda;Support ship;Ships;1986;No;2;No;1989;No;New;15.0000;15.0000;30;No,,,,
18980;United States;Pakistan;Garcia;Frigate;Ships;1988;No;4;No;1989;No;Second hand;135.0000;54;216;No,,,,
18888;United States;Japan;MIM-104A Patriot;SAM;Missiles;1985;No;20;No;1989;No;New;0.7500;0.7500;15;Yes,,,,
19130;Switzerland;Netherlands;PC-7 Turbo Trainer;Trainer aircraft;Aircraft;1988;No;10;No;1989;No;New;1.0000;1.0000;10;No,,,,
15994;United Kingdom;Germany;Lynx;ASW helicopter;Aircraft;1986;No;2;No;1989;No;New;8.5000;8.5000;17;No,,,,
19689;Netherlands;Indonesia;Van Speijk;Frigate;Ships;1989;No;2;No;1989;No;Second hand;140.0000;56;112;No,,,,
18558;United States;South Korea;F-4E Phantom-2;FGA aircraft;Aircraft;1988;No;12;No;1989;No;Second hand;25.0000;10;120;No,,,,
17925;Spain;Morocco;Cormoran;Patrol craft;Ships;1985;No;4;No;1989;No;New;17.6000;17.6000;70.4;No,,,,
18793;United States;Singapore;F-5E Tiger-2;FGA aircraft;Aircraft;1986;No;5;No;1989;No;New;10.5000;10.5000;52.5;No,,,,
18010;Australia;New Zealand;ASI-315;Patrol craft;Ships;1988;No;1;No;1989;No;New;6.0000;6.0000;6;No,,,,
19907;China;Sudan;Type-59-1 130mm;Towed gun;Artillery;1988;Yes;10;No;1989;No;New;0.7000;0.7000;7;No,,,,
15848;Norway;Denmark;Type-207;Submarine;Ships;1986;No;1;No;1989;No;Second hand but modernized;50.0000;33;33;No,,,,
18670;United Kingdom;Saudi Arabia;Shorland;APV;Armoured vehicles;1988;No;20;No;1989;No;New;0.1000;0.1000;2;No,,,,
18615;United States;Turkey;M-270 MLRS 227mm;Self-propelled MRL;Artillery;1988;No;9;No;1989;No;New;1.2000;1.2000;10.8;No,,,,
20467;Soviet Union;Bulgaria;Project-1241/Pauk;Patrol craft;Ships;1989;No;1;No;1989;No;New;65.0000;65.0000;65;No,,,,
19834;Soviet Union;Libya;Square Pair;Fire control radar;Sensors;1988;Yes;1;Yes;1989;Yes;New;3.5000;3.5000;3.5;No,,,,
16764;United States;Portugal;HR-3000 HADR;Air search radar;Sensors;1985;No;1;Yes;1989;Yes;New;11.0000;11.0000;11;No,,,,
18725;United States;Portugal;TPS-44;Air search radar;Sensors;1988;No;1;Yes;1989;Yes;New;4.7600;4.7600;4.76;No,,,,
20347;Nicaragua;FMLN (El Salvador)*;FIM-43C Redeye;Portable SAM;Missiles;1989;Yes;10;Yes;1989;Yes;Second hand;0.0400;0.016;0.16;No,,,,
20705;Italy;Brazil;PLUTO;Air/sea search radar;Sensors;1984;No;1;Yes;1989;Yes;New;5.0000;5.0000;5;No,,,,
20606;Netherlands;Taiwan;STIR;Fire control radar;Sensors;1989;Yes;2;No;1989;No;New;4.5000;4.5000;9;No,,,,
16136;Soviet Union;Afghanistan;D-30 122mm;Towed gun;Artillery;1978;Yes;34;Yes;1989;No;New;0.3500;0.3500;11.9;No,,,,
18504;Soviet Union;Afghanistan;M-46 130mm;Towed gun;Artillery;1979;Yes;46;Yes;1989;No;Second hand;0.6500;0.26;11.96;No,,,,
18362;Soviet Union;Angola;M-46 130mm;Towed gun;Artillery;1986;Yes;18;Yes;1989;No;Second hand;0.6500;0.26;4.68;No,,,,
