source,target,weights,sourceID,targetID,,
Israel,Brazil,6,47,15,,1
Netherlands,Turkey,4.75,70,105,,1
Chile,Uruguay,0.42,21,113,,1
Russia,Angola,62.7,84,4,,1
Spain,Saudi Arabia,43,94,86,,1
Russia,China,275,84,22,,1
Spain,Saudi Arabia,27,94,86,,1
South Korea,Thailand,71.2,93,103,,1
United States,Singapore,34,110,90,,1
France,Argentina,3.2,34,5,,1
Spain,United States,159.6,94,110,,1
United States,Jordan,3.96,110,51,,1
France,Norway,3.8,34,73,,1
Russia,Iraq,292,84,45,,1
India,Sri Lanka,37,42,95,,1
Ukraine,Thailand,52,108,103,,1
France,Nigeria,13.6,34,72,,1
United Kingdom,Oman,230,109,74,,1
Japan,Philippines,3.3,50,79,,1
Ukraine,Thailand,3,108,103,,1
Italy,Australia,16,48,6,,1
United States,Australia,3,110,6,,1
Italy,Norway,4.65,48,73,,1
United States,Egypt,140,110,29,,1
Netherlands,Finland,40,70,33,,1
United States,Indonesia,75,110,43,,1
Turkey,Senegal,4.25,105,87,,1
United States,Senegal,2,110,87,,1
United States,Afghanistan,115.83,110,0,,1
Russia,Viet Nam,15,84,115,,1
Ukraine,Viet Nam,10,108,115,,1
United States,Philippines,0.24,110,79,,1
Russia,Nigeria,23,84,72,,1
Belgium,France,5.2,12,34,,1
Czechia,Ukraine,17.82,26,108,,1
Israel,Philippines,4.2,47,79,,1
Pakistan,Azerbaijan,2.2,75,8,,1
United States,Indonesia,6,110,43,,1
Belarus,Serbia,45.6,11,88,,1
Russia,Belarus,26,84,11,,1
United Kingdom,South Korea,12,109,93,,1
United States,South Korea,7.5,110,93,,1
South Korea,Indonesia,159.52,93,43,,1
Germany,United Kingdom,3.2,36,109,,1
Netherlands,Libya HoR,10,70,60,,1
Israel,Azerbaijan,125,47,8,,1
Germany,Algeria,48,36,3,,1
Germany,Serbia,3.25,36,88,,1
United States,Chile,43.5,110,21,,1
United States,Montenegro,15,110,65,,1
Italy,Norway,30.2,48,73,,1
United States,France,3,110,34,,1
United States,Saudi Arabia,1950,110,86,,1
Australia,Japan,0.8,6,50,,1
United States,Japan,0.2,110,50,,1
Sweden,Norway,13.5,97,73,,1
United States,Iraq,34,110,45,,1
Russia,Azerbaijan,28.5,84,8,,1
Germany,Qatar,35,36,82,,1
United Kingdom,Finland,0.288,109,33,,1
Brazil,Afghanistan,26.4,15,0,,1
Canada,Afghanistan,3.6,19,0,,1
Canada,Lebanon,3,19,57,,1
Indonesia,Viet Nam,7.6,43,115,,1
Italy,Angola,12,48,4,,1
Germany,Netherlands,25,36,70,,1
United States,Taiwan,87,110,100,,1
Switzerland,Brazil,3,98,15,,1
United States,Saudi Arabia,4,110,86,,1
United States,UAE,20,110,106,,1
United States,Saudi Arabia,27,110,86,,1
Netherlands,Canada,12.5,70,19,,1
United States,Canada,72,110,19,,1
UAE,Egypt,42,106,29,,1
Russia,Egypt,294.5,84,29,,1
United States,Philippines,7.5,110,79,,1
United States,Morocco,3,110,66,,1
United States,Morocco,4,110,66,,1
United States,Jordan,11,110,51,,1
