"Id","RealName","Community","latitude","longitude"
0,"Afghanistan",115,34.53,69.17
1,"Albania",83,41.33,19.82
2,"Algeria",146,36.75,3.04
3,"Angola",115,-8.84,13.23
4,"Argentina",115,-34.61,-58.4
5,"Armenia",93,40.18,44.51
6,"Australia",115,-35.28,149.13
7,"Austria",115,48.21,16.37
8,"Azerbaijan",92,40.38,49.89
9,"Bahamas",93,25.06,-77.34
10,"Bahrain",115,26.22,50.58
11,"Bangladesh",146,23.71,90.41
12,"Belarus",92,53.9,27.57
13,"Belgium",115,50.85,4.35
14,"Bhutan",93,NA,NA
15,"Bolivia",83,-19.03,-65.26
16,"Botswana",146,-24.65,25.91
17,"Brazil",115,-15.78,-47.93
18,"Brunei",93,NA,NA
19,"Bulgaria",93,42.7,23.32
20,"Burkina Faso",146,12.36,-1.54
21,"Burundi",83,-3.38,29.36
22,"Cameroon",146,3.87,11.52
23,"Canada",92,45.42,-75.7
24,"Central African Republic",93,4.36,18.55
25,"Chad",83,12.11,15.04
26,"Chile",115,-33.46,-70.65
27,"China",92,39.91,116.4
28,"Colombia",83,4.61,-74.08
29,"Cote d'Ivoire",146,NA,NA
30,"Croatia",83,45.81,15.98
31,"Cyprus",93,35.16,33.37
32,"Czechia",115,NA,NA
33,"Democratic Republic of the Congo",93,-4.33,15.31
34,"Denmark",115,55.68,12.57
35,"Djibouti",83,11.59,43.14
36,"Dominican Republic",83,18.49,-69.9
37,"Ecuador",83,-0.23,-78.52
38,"Egypt",115,30.04,31.24
39,"El Salvador",93,13.69,-89.19
40,"Equatorial Guinea",93,3.75,8.78
41,"Estonia",115,59.44,24.75
42,"Ethiopia",115,9.02,38.75
43,"Fiji",93,-18.14,178.44
44,"Finland",115,60.17,24.94
45,"France",92,48.85,2.35
46,"Gabon",83,0.39,9.45
47,"Georgia",146,41.69,44.83
48,"Germany",92,52.52,13.41
49,"Ghana",83,5.56,-0.2
50,"Greece",83,37.95,23.75
51,"Guatemala",83,14.61,-90.53
52,"Guinea",73,9.57,-13.65
53,"Guyana",93,6.8,-58.16
54,"Honduras",83,14.08,-87.21
55,"Hungary",83,47.5,19.04
56,"India",92,28.67,77.22
57,"Indonesia",92,-6.21,106.84
58,"Iran",93,35.69,51.42
59,"Iraq",115,33.34,44.4
60,"Ireland",83,53.33,-6.25
61,"Israel",92,31.77,35.22
62,"Italy",92,41.89,12.48
63,"Jamaica",83,18,-76.79
64,"Japan",92,35.69,139.69
65,"Jordan",146,31.96,35.95
66,"Kazakhstan",115,51.18,71.45
67,"Kenya",146,-1.28,36.82
68,"Kuwait",146,29.35,47.98
69,"Kyrgyzstan",93,42.87,74.59
70,"Laos",93,17.97,102.6
71,"Latvia",83,56.95,24.11
72,"Lebanon",146,33.9,35.48
73,"Lesotho",73,-29.32,27.48
74,"Libya",115,32.88,13.19
75,"Lithuania",115,54.69,25.28
76,"Luxembourg",93,49.61,6.13
77,"Macedonia",93,NA,NA
78,"Malawi",93,-13.97,33.79
79,"Malaysia",115,3.14,101.69
80,"Mali",146,12.65,-8
81,"Malta",83,35.9,14.51
82,"Mauritania",83,18.09,-15.98
83,"Mauritius",83,-20.16,57.5
84,"Mexico",115,19.43,-99.14
85,"Montenegro",83,42.44,19.26
86,"Morocco",146,34.01,-6.83
87,"Mozambique",93,-25.97,32.59
88,"Myanmar",115,19.75,96.13
89,"Namibia",93,-22.56,17.08
90,"Nepal",92,27.7,85.32
91,"Netherlands",92,52.08,4.3
92,"New Zealand",92,-41.29,174.78
93,"Nicaragua",93,12.13,-86.25
94,"Niger",146,13.51,2.11
95,"Nigeria",146,9.06,7.49
96,"Norway",115,59.91,10.75
97,"Oman",115,23.61,58.59
98,"Pakistan",115,33.7,73.06
99,"Panama",83,9,-79.52
100,"Papua New Guinea",93,-9.44,147.18
101,"Peru",146,-12.04,-77.03
102,"Philippines",83,14.6,120.98
103,"Poland",146,52.23,21.01
104,"Portugal",83,38.72,-9.14
105,"Qatar",115,25.27,51.52
106,"Republic of Korea",115,37.57,126.98
107,"Romania",83,44.43,26.1
108,"Russia",92,NA,NA
109,"Rwanda",93,-1.95,30.06
110,"Saudi Arabia",92,24.69,46.71
111,"Senegal",146,14.69,-17.44
112,"Serbia",146,44.82,20.46
113,"Seychelles",93,-4.62,55.45
114,"Sierra Leone",93,8.48,-13.23
115,"Singapore",115,1.29,103.85
116,"Slovakia",146,48.15,17.11
117,"Slovenia",93,46.05,14.51
118,"Somalia",92,2.04,45.34
119,"South Africa",146,-25.74,28.19
120,"South Sudan",93,4.85,31.58
121,"Spain",115,40.42,-3.7
122,"Sri Lanka",115,6.9,79.91
123,"Sudan",93,15.55,32.53
124,"Sweden",92,59.33,18.06
125,"Switzerland",115,46.95,7.45
126,"Syria",92,33.51,36.31
127,"Taiwan",83,NA,NA
128,"Tajikistan",93,38.54,68.78
129,"Tanzania",146,-6.17,35.74
130,"Thailand",92,13.72,100.53
131,"Trinidad and Tobago",93,10.67,-61.52
132,"Tunisia",146,36.82,10.17
133,"Turkey",92,39.92,32.85
134,"Turkmenistan",92,37.95,58.38
135,"UAE",92,24.46,54.36
136,"Uganda",146,0.32,32.58
137,"Ukraine",146,50.45,30.52
138,"United Kingdom",92,51.51,-0.13
139,"United States",92,38.9,-77.04
140,"Uruguay",93,-34.83,-56.17
141,"Uzbekistan",92,41.26,69.22
142,"Venezuela",93,10.49,-66.88
143,"Viet Nam",115,21.02,105.84
144,"Western Sahara",93,NA,NA
145,"Yemen",93,15.35,44.21
146,"Zambia",146,-15.41,28.28
