Id, RealName, Community
0,Afghanistan,115
1,Albania,83
2,Algeria,146
3,Angola,115
4,Argentina,115
5,Armenia,93
6,Australia,115
7,Austria,115
8,Azerbaijan,92
9,Bahamas,93
10,Bahrain,115
11,Bangladesh,146
12,Belarus,92
13,Belgium,115
14,Bhutan,93
15,Bolivia,83
16,Botswana,146
17,Brazil,115
18,Brunei,93
19,Bulgaria,93
20,Burkina Faso,146
21,Burundi,83
22,Cameroon,146
23,Canada,92
24,Central African Republic,93
25,Chad,83
26,Chile,115
27,China,92
28,Colombia,83
29,Cote d'Ivoire,146
30,Croatia,83
31,Cyprus,93
32,Czechia,115
33,Democratic Republic of the Congo,93
34,Denmark,115
35,Djibouti,83
36,Dominican Republic,83
37,Ecuador,83
38,Egypt,115
39,El Salvador,93
40,Equatorial Guinea,93
41,Estonia,115
42,Ethiopia,115
43,Fiji,93
44,Finland,115
45,France,92
46,Gabon,83
47,Georgia,146
48,Germany,92
49,Ghana,83
50,Greece,83
51,Guatemala,83
52,Guinea,73
53,Guyana,93
54,Honduras,83
55,Hungary,83
56,India,92
57,Indonesia,92
58,Iran,93
59,Iraq,115
60,Ireland,83
61,Israel,92
62,Italy,92
63,Jamaica,83
64,Japan,92
65,Jordan,146
66,Kazakhstan,115
67,Kenya,146
68,Kuwait,146
69,Kyrgyzstan,93
70,Laos,93
71,Latvia,83
72,Lebanon,146
73,Lesotho,73
74,Libya,115
75,Lithuania,115
76,Luxembourg,93
77,Macedonia,93
78,Malawi,93
79,Malaysia,115
80,Mali,146
81,Malta,83
82,Mauritania,83
83,Mauritius,83
84,Mexico,115
85,Montenegro,83
86,Morocco,146
87,Mozambique,93
88,Myanmar,115
89,Namibia,93
90,Nepal,92
91,Netherlands,92
92,New Zealand,92
93,Nicaragua,93
94,Niger,146
95,Nigeria,146
96,Norway,115
97,Oman,115
98,Pakistan,115
99,Panama,83
100,Papua New Guinea,93
101,Peru,146
102,Philippines,83
103,Poland,146
104,Portugal,83
105,Qatar,115
106,Republic of Korea,115
107,Romania,83
108,Russia,92
109,Rwanda,93
110,Saudi Arabia,92
111,Senegal,146
112,Serbia,146
113,Seychelles,93
114,Sierra Leone,93
115,Singapore,115
116,Slovakia,146
117,Slovenia,93
118,Somalia,92
119,South Africa,146
120,South Sudan,93
121,Spain,115
122,Sri Lanka,115
123,Sudan,93
124,Sweden,92
125,Switzerland,115
126,Syria,92
127,Taiwan,83
128,Tajikistan,93
129,Tanzania,146
130,Thailand,92
131,Trinidad and Tobago,93
132,Tunisia,146
133,Turkey,92
134,Turkmenistan,92
135,UAE,92
136,Uganda,146
137,Ukraine,146
138,United Kingdom,92
139,United States,92
140,Uruguay,93
141,Uzbekistan,92
142,Venezuela,93
143,Viet Nam,115
144,Western Sahara,93
145,Yemen,93
146,Zambia,146
