Id,RealName,Community
0,Afghanistan,88
1,Albania,88
2,Algeria,88
3,Angola,88
4,Argentina,31
5,Armenia,88
6,Australia,31
7,Austria,42
8,Azerbaijan,88
9,Bahamas,31
10,Bahrain,88
11,Bangladesh,31
12,Barbados,31
13,Belarus,88
14,Belgium,42
15,Belize,31
16,Benin,17
17,Benin,17
18,Bolivia,31
19,Bolivia,31
20,Bosnia and Herzegovina,88
21,Botswana,17
22,Brazil,31
23,Bulgaria,88
24,Burkina Faso,17
25,Burundi,17
26,Cambodia,31
27,Cameroon,88
28,Canada,31
29,Central African Republic,17
30,Chad,17
31,Chile,31
32,China,31
33,Colombia,31
34,Costa Rica,31
35,Côte d'Ivoire,17
36,Côte d'Ivoire,17
37,Croatia,88
38,Cuba,165
39,Cyprus,42
40,Czech Republic,42
41,Democratic Republic of the Congo,88
42,Denmark,42
43,Djibouti,88
44,Dominican Republic,31
45,Ecuador,31
46,Egypt,88
47,El Salvador,31
48,Equatorial Guinea,17
49,Eritrea,17
50,Estonia,42
51,Ethiopia,17
52,Fiji,117
53,Finland,42
54,France,31
55,Gabon,88
56,Gambia,17
57,Georgia,88
58,Germany,31
59,Ghana,17
60,Greece,42
61,Guatemala,31
62,Guinea,17
63,Guinea-Bissau,17
64,Guyana,31
65,Haiti,165
66,Honduras,165
67,Hungary,42
68,Iceland,42
69,India,31
70,Indonesia,31
71,Iran,88
72,Iraq,88
73,Ireland,42
74,Israel,31
75,Italy,31
76,Jamaica,31
77,Japan,31
78,Jordan,88
79,Kazakhstan,88
80,Kenya,88
81,Kuwait,88
82,Kyrgyzstan,88
83,Laos,88
84,Latvia,88
85,Lebanon,88
86,Lesotho,17
87,Liberia,17
88,Libya,88
89,Lithuania,42
90,Luxembourg,42
91,Madagascar,17
92,Malawi,17
93,Malaysia,31
94,Mali,17
95,Malta,42
96,Mauritania,17
97,Mauritius,17
98,Mexico,31
99,Moldova,88
100,Mongolia,117
101,Montenegro,88
102,Morocco,88
103,Mozambique,17
104,Myanmar,31
105,Namibia,17
106,Nepal,88
107,Netherlands,31
108,Netherlands,31
109,New Zealand,31
110,Nicaragua,165
111,Niger,17
112,Nigeria,88
113,Norway,42
114,Oman,31
115,Pakistan,31
116,Panama,31
117,Papua New Guinea,117
118,Paraguay,31
119,Peru,31
120,Philippines,31
121,Poland,31
122,Portugal,42
123,Qatar,88
124,Republic of Korea,31
125,Republic of the Congo,88
126,Romania,42
127,Rwanda,17
128,Saudi Arabia,31
129,Senegal,17
130,Serbia,88
131,Seychelles,17
132,Sierra Leone,17
133,Singapore,31
134,Slovakia,42
135,Slovenia,88
136,Somalia,17
137,South Africa,17
138,South Africa,17
139,South Africa,17
140,South Sudan,17
141,Spain,31
142,Sri Lanka,31
143,Sri Lanka,31
144,Sudan,88
145,Swaziland,17
146,Sweden,42
147,Switzerland,42
148,Syria,88
149,Tajikistan,88
150,Tanzania,17
151,Thailand,31
152,Timor-Leste,31
153,Togo,17
154,Trinidad and Tobago,31
155,Tunisia,88
156,Turkey,88
157,Turkmenistan,88
158,UAE,164
159,Uganda,17
160,Ukraine,88
161,United Kingdom,31
162,United States,162
163,Uruguay,31
164,Uzbekistan,164
165,Venezuela,165
166,Viet Nam,31
167,Yemen,88
168,Zambia,17
169,Zimbabwe,88
