"Country","Latitude","Longitude","military_expenditure","freedom_score"
"Afghanistan",34.528887,69.17246,13.8349959611269,24
"Albania",41.3275,19.81889,12.0159347834421,68
"Algeria",36.7525,3.04197,100.366149778206,35
"Angola",-8.83682,13.23432,55.3432282576993,24
"Argentina",-34.605083,-58.400368,73.8894016246851,82
"Armenia",40.181998,44.514619,21.0620609946177,45
"Australia",-35.28346,149.12807,166.406467473027,98
"Austria",48.206443,16.370725,56.0210603612869,95
"Azerbaijan",40.37767,49.89201,39.1006341674128,14
"Bahamas",25.05823,-77.34306,6.92820323027551,91
"Bahrain",26.21536,50.5832,39.1498756825286,12
"Bangladesh",23.7104,90.40744,59.9500457014221,47
"Barbados",13.1,-59.61667,6.2449979983984,97
"Belarus",53.9,27.56667,25.122607333718,20
"Belgium",50.846735,4.349919,66.9675487266806,95
"Belize",17.25,-88.76667,4.84321690614823,87
"Benin",6.36536,2.41833,10.7769560807744,82
"Benin",6.49646,2.60359,10.7769560807744,82
"Bolivia",-19.03332,-65.26274,23.9597618856653,68
"Bolivia",-16.5,-68.15,23.9597618856653,68
"Bosnia and Herzegovina",43.84864,18.35644,12.8311359713539,55
"Botswana",-24.65451,25.90859,22.8567376393837,72
"Brazil",-15.77972,-47.92972,171.122909963761,79
"Bulgaria",42.69751,23.32415,28.7086575250165,80
"Burkina Faso",12.36423,-1.53834,13.8226567187464,63
"Burundi",-3.3822,29.3644,7.99429036450446,19
"Cambodia",11.56245,104.91601,21.5362679038437,31
"Cameroon",3.86667,11.51667,20.2029100660167,24
"Canada",45.416598,-75.697997,146.093707786735,99
"Central African Republic",4.36122,18.55496,5.24559474015437,10
"Chad",12.10672,15.0444,14.8013861300311,18
"Chile",-33.45694,-70.64827,73.2804075784973,94
"China",39.9075,116.39723,477.314799598528,15
"Colombia",4.60971,-74.08175,100.090108490212,64
"Costa Rica",9.927817,-84.080685,0,91
"Côte d'Ivoire",6.82055,-5.27674,22.3959534792705,52
"Côte d'Ivoire",5.345339,-4.026789,22.3959534792705,52
"Croatia",45.81444,15.97798,28.0053702553453,87
"Cuba",23.119541,-82.378493,11.0703621894968,15
"Cyprus",35.159506,33.366929,18.904521174363,94
"Czech Republic",50.08804,14.42076,45.5820366024089,94
"Democratic Republic of the Congo",-4.32758,15.31357,17.1824350520402,27
"Denmark",55.67594,12.56553,61.3517183423867,97
"Djibouti",11.58767,43.14468,6.32455532033676,26
"Dominican Republic",18.489591,-69.901805,23.0884660180109,68
"Ecuador",-0.22985,-78.52495,49.6255982331699,57
"Egypt",30.039173,31.239411,52.5888622620044,26
"El Salvador",13.68935,-89.18718,16.1523992025953,70
"Equatorial Guinea",3.75,8.78333,3.53411940941446,8
"Eritrea",15.33333,38.93333,16.4620776331543,3
"Estonia",59.43696,24.75353,23.1827571034986,94
"Ethiopia",9.02497,38.74689,22.4311875355702,12
"Fiji",-18.14161,178.44149,6.76060576744498,59
"Finland",60.169246,24.940216,58.5659304741634,100
"France",48.85341,2.3488,245.799712818979,90
"Gabon",0.3925,9.45365,16.353310698535,32
"Gambia",13.453099,-16.679433,3.36154726279432,20
"Georgia",41.69411,44.83368,17.5564000716994,64
"Germany",52.52437,13.41053,213.029861855621,95
"Ghana",5.55602,-0.1969,13.7524485634508,83
"Greece",37.95342,23.74897,71.3707846843354,84
"Guatemala",14.612652,-90.530746,16.583570138693,54
"Guinea",9.571642,-13.647602,14.1179982069306,41
"Guinea-Bissau",11.86357,-15.59767,3.07571129984594,40
"Guyana",6.80448,-58.15527,7.72819121575756,74
"Haiti",18.53917,-72.335,0.271318065123346,39
"Honduras",14.0818,-87.20681,19.9614660880025,46
"Hungary",47.49801,19.03991,38.2493648473159,76
"Iceland",64.13548,-21.89541,5.41424048228373,97
"India",28.66667,77.21667,254.085488134786,77
"Indonesia",-6.211831,106.841646,90.4330933718195,65
"Iran",35.69439,51.42151,118.030489661771,17
"Iraq",33.34058,44.40088,86.1184366737758,27
"Ireland",53.33306,-6.24889,32.0166120540495,96
"Israel",31.76904,35.21633,124.826313017347,80
"Italy",41.894743,12.481142,162.628081570888,89
"Jamaica",17.99702,-76.79358,11.9810498466078,75
"Japan",35.6895,139.69171,213.04232396842,96
"Jordan",31.95522,35.94503,44.0422332524039,37
"Kazakhstan",51.1801,71.44598,37.2910055543421,22
"Kenya",-1.28333,36.81667,31.865102886636,51
"Kuwait",29.353429,47.982244,82.2474128096322,36
"Kyrgyzstan",42.87,74.59,11.0234207648567,37
"Laos",17.96667,102.6,4.76445169982864,12
"Latvia",56.946,24.10589,22.5696723656385,87
"Lebanon",33.9,35.48333,49.4072348651311,44
"Lesotho",-29.31667,27.48333,7.25222795922723,64
"Liberia",6.30054,-10.7969,3.91586516621806,62
"Libya",32.87519,13.18746,79.4984276574072,13
"Lithuania",54.68916,25.2798,28.4975209455601,91
"Luxembourg",49.61167,6.13,18.9122080587968,98
"Madagascar",-18.91368,47.53613,8.17961430540384,56
"Malawi",-13.96692,33.78725,6.88596667627889,63
"Malaysia",3.1412,101.68653,59.1171062965194,44
"Mali",12.65,-8,21.4175027654469,45
"Malta",35.89972,14.51472,8.01472945056372,96
"Mauritania",18.08581,-15.9785,11.9903844222439,30
"Mauritius",-20.16194,57.49889,4.88088805233496,89
"Mexico",19.427318,-99.141869,76.035763787201,65
"Moldova",47.00556,28.8575,5.5343546133455,62
"Mongolia",47.90771,106.88324,9.09698861082559,85
"Montenegro",42.44111,19.26361,8.10770537062945,69
"Morocco",34.01325,-6.83255,58.8341867572212,41
"Mozambique",-25.96528,32.58917,11.3278520648178,53
"Myanmar",19.745,96.12972,58.859677260048,32
"Namibia",-22.55941,17.08323,21.3981819616025,77
"Nepal",27.70169,85.3206,20.1172865848972,52
"Netherlands",52.37403,4.88969,97.8809761813617,99
"Netherlands",52.0767,4.2986,97.8809761813617,99
"New Zealand",-41.28664,174.77557,48.2509756698932,98
"Nicaragua",12.13282,-86.2504,9.31264972170726,47
