Id, RealName, Community
0,Afghanistan,3
1,Albania,4
2,Algeria,3
3,Angola,0
4,Argentina,3
5,Armenia,3
6,Australia,0
7,Austria,3
8,Azerbaijan,6
9,Bahamas,0
10,Bahrain,0
11,Bangladesh,1
12,Belarus,3
13,Belgium,3
14,Bhutan,2
15,Bolivia,7
16,Botswana,4
17,Brazil,3
18,Brunei,3
19,Bulgaria,4
20,Burkina Faso,4
21,Burundi,6
22,Cameroon,1
23,Canada,0
24,Central African Republic,3
25,Chad,3
26,Chile,0
27,China,5
28,Colombia,0
29,Cote d'Ivoire,7
30,Croatia,1
31,Cyprus,1
32,Czechia,0
33,Democratic Republic of the Congo,6
34,Denmark,3
35,Djibouti,6
36,Dominican Republic,3
37,Ecuador,4
38,Egypt,1
39,El Salvador,1
40,Equatorial Guinea,0
41,Estonia,6
42,Ethiopia,6
43,Fiji,4
44,Finland,0
45,France,0
46,Gabon,3
47,Georgia,3
48,Germany,3
49,Ghana,1
50,Greece,0
51,Guatemala,3
52,Guinea,4
53,Guyana,3
54,Honduras,1
55,Hungary,1
56,India,2
57,Indonesia,3
58,Iran,3
59,Iraq,1
60,Ireland,6
61,Israel,1
62,Italy,1
63,Jamaica,0
64,Japan,1
65,Jordan,0
66,Kazakhstan,4
67,Kenya,0
68,Kuwait,1
69,Kyrgyzstan,2
70,Laos,3
71,Latvia,4
72,Lebanon,3
73,Lesotho,3
74,Libya,4
75,Lithuania,4
76,Luxembourg,4
77,Macedonia,1
78,Malawi,0
79,Malaysia,0
80,Mali,3
81,Malta,0
82,Mauritania,1
83,Mauritius,6
84,Mexico,1
85,Montenegro,4
86,Morocco,7
87,Mozambique,6
88,Myanmar,1
89,Namibia,6
90,Nepal,0
91,Netherlands,6
92,New Zealand,3
93,Nicaragua,7
94,Niger,1
95,Nigeria,0
96,Norway,1
97,Oman,3
98,Pakistan,1
99,Panama,3
100,Papua New Guinea,6
101,Peru,1
102,Philippines,0
103,Poland,6
104,Portugal,4
105,Qatar,6
106,Republic of Korea,6
107,Romania,2
108,Russia,4
109,Rwanda,6
110,Saudi Arabia,1
111,Senegal,4
